Número,Título,Autor,Co-autor,Ano de Publicação,Título original,Tradutor,Co-tradutor,Ano de edição,index
102,A Guerra das Salamandras,Karel Capek,,1965,Válka s Mloky,Lima de Freitas,,1936,102
103,Perdido no Espaço 1º volume,Martin Caidin,,1966,Marooned,Eurico da Fonseca,,1964,103
104,Perdido no Espaço 2º volume,Martin Caidin,,1966,Marooned,Eurico da Fonseca,,1964,104
105,Engenheiros Cósmicos,Clifford D Simak,,1966,Cosmic Engineers,Mário Braga,Maria Isabel Morna Braga,1962,105
106,O Vírus Destruidor,Charles Eric Maine,,1966,The Darkest of Nights,Eurico Fonseca,,1964,106
107,O Império dos Mutantes,Stefan Wul,,1966,La Mort Vivante,Amadeu Lopes Sabino,,1958,107
108,A Cidade Fantástica,Ray Bradbury,,1966,Dandelion Wine,Jorge Rosa,,1957,108
109,Cataclismo Solar,J G Ballard,,1966,The Drowned World,Mário Braga,Maria Isabel Morna Braga,1962,109
110,Estrelas Inimigas,Poul Anderson,,1966,The Enemy Stars,Eurico da Fonseca,,1959,110
111,Escala no Tempo,Robert A Heinlein,,1966,The Door into Summer,Eurico da Fonseca,,1957,111
112,As Flores que Pensam,Clifford D Simak,,1966,All Flesh is Grass,Eurico da Fonseca,,1965,112
113,O Planeta da Utopia,Murray Leinster,,1966,The Duplicators,Eurico da Fonseca,,1964,113
114,A Astronave Pirata,A E Van Vogt,,1966,Rogue Ship,Eurico da Fonseca,,1965,114
115,O Mundo de Cristal,J G Ballard,,1967,The Crystal World,Eurico da Fonseca,,1966,115
116,A Batalha do Vácuo,Charles Eric Maine,,1967,High Vacuum,Eurico da Fonseca,,1955,116
117,As Cidades Mortas,Clifford D Simak,,1967,City,Eurico da Fonseca,,1952,117
118,O Planeta Esquecido,Murray Leinster,,1967,Forgotten Planet,Eurico da Fonseca,,1954,118
119,Revolta na Lua 1º volume,Robert A Heinlein,,1967,The Moon is a Harsh Mistress,Eurico da Fonseca,,1966,119
120,Revolta na Lua 2º volume,Robert A Heinlein,,1967,The Moon is a Harsh Mistress,Eurico da Fonseca,,1966,120
121,Vivos 20%,John Wyndham,,1967,The Kraken Wakes,Eurico da Fonseca,,1953,121
122,Bandeirantes num Novo Mundo,Edmund Cooper,,1967,Transit,Eurico da Fonseca,,1964,122
123,Deixemo-los no Céu,Clifford D Simak,,1967,Why Call Them Back From Heaven?,Eurico da Fonseca,,1967,123
124,O Mundo que nos Espera 1º volume,Robert A Heinlein,,1967,Farnham's Freehold,Fernanda Pinto Rodrigues,,1964,124
125,O Mundo que nos Espera 2º volume,Robert A Heinlein,,1967,Farnham's Freehold,Fernanda Pinto Rodrigues,,1964,125
126,O Planeta dos Homens Alados,Poul Anderson,,1967,War of the Wing-men,Eurico da Fonseca,,1958,126
127,Colónia de Marte,A E Van Vogt,,1968,The House That Stood Still,Eurico da Fonseca,,1950,127
128,O Túnel do Tempo,Murray Leinster,,1968,The Time Tunnel,Eurico da Fonseca,,1967,128
129,Soldado no Espaço,Robert A Heinlein,,1968,Starship Troopers,Eurico da Fonseca,,1959,129
130-A,Estação de Trânsito,Clifford D Simak,,1968,Way Station,Gilberto Almeida,,1963,130
130,Império Submarino,Paul W Fairman,,1968,City Under the Sea,Eurico da Fonseca,,1965,131
131,Viajantes do Tempo,Clifford D Simak,,1968,Time is the Simplest Thing,Eurico da Fonseca,,1961,132
132,Revolta em 2100,Robert A Heinlein,,1968,Revolt in 2100,Eurico da Fonseca,,1953,133
133,Patrulha Interstelar,Edmond Hamilton,,1968,Crashing Suns,Eurico da Fonseca,,1965,134
134,O Médico das Estrelas,Murray Leinster,,1968,The Mutant Weapon,Eurico da Fonseca,,1959,135
135,A Última Fortaleza Terrestre,A E Van Vogt,,1968,Earth's Last Fortress,Eurico da Fonseca,,1960,136
136,Ave Marciana,Edmund Cooper,,1968,A Far Sunset,Eurico da Fonseca,,1967,137
137,Os Filhos de Matusalém,Robert A Heinlein,,1968,Methuselah's Children,Eurico da Fonseca,,1941,138
138,A Máquina Divina 1º volume,Martin Caidin,,1969,The God Machine,Eurico da Fonseca,,1968,139
