Numero,Titulo,Autor,Co-autor,Ano-de-Publicacao,Titulo-original,Tradutor,Co-tradutor,Ano-de-edicao,alias,Autor2-alias,Tradutor1-alias,Tradutor2-alias,Titulo-link,Capa,pags,Capa-link,Serie,anterior,seguinte,Livro-isfdb,Livro-isfdb-original,Livro-bibliowiki
287,Os Visitantes 2º volume,Clifford D Simak,,1981,The Visitors,Eurico da Fonseca,,1980,Clifford-D-Simak,,Eurico-da-Fonseca,,287-Os-Visitantes-2-volume,,,,,286-Os-Visitantes-1-volume,288-A-Lei-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373692,http://www.isfdb.org/cgi-bin/title.cgi?14876,"/index.php/Os_Visitantes_(LdB,_1981,_2%C2%BA_volume)"
288,A Lei do Espaço,E E Doc Smith,,1981,Second Stage Lensman,Eurico da Fonseca,,1953,E-E-Doc-Smith,,Eurico-da-Fonseca,,288-A-Lei-do-Espaco,,,,,287-Os-Visitantes-2-volume,289-O-Labirinto-Magico-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373693,http://www.isfdb.org/cgi-bin/title.cgi?1201,/index.php/A_Lei_do_Espa%C3%A7o
289,O Labirinto Mágico 1º volume,Philip José Farmer,,1981,The Magic Labyrinth,Eurico da Fonseca,,1980,Philip-Jose-Farmer,,Eurico-da-Fonseca,,289-O-Labirinto-Magico-1-volume,António Pedro,170,Antonio-Pedro,Riverworld,288-A-Lei-do-Espaco,290-O-Labirinto-Magico-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373694,http://www.isfdb.org/cgi-bin/title.cgi?1592,"/index.php/O_Labirinto_M%C3%A1gico_(LdB,_1981,_1%C2%BA_volume)"
290,O Labirinto Mágico 2º volume,Philip José Farmer,,1981,The Magic Labyrinth,Eurico da Fonseca,,1980,Philip-Jose-Farmer,,Eurico-da-Fonseca,,290-O-Labirinto-Magico-2-volume,António Pedro,173,Antonio-Pedro,Riverworld,289-O-Labirinto-Magico-1-volume,291-O-Labirinto-Magico-3-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373695,http://www.isfdb.org/cgi-bin/title.cgi?1592,"/index.php/O_Labirinto_M%C3%A1gico_(LdB,_1981,_2%C2%BA_volume)"
291,O Labirinto Mágico 3º volume,Philip José Farmer,,1981,The Magic Labyrinth,Eurico da Fonseca,,1980,Philip-Jose-Farmer,,Eurico-da-Fonseca,,291-O-Labirinto-Magico-3-volume,António Pedro,184,Antonio-Pedro,Riverworld,290-O-Labirinto-Magico-2-volume,292-Os-Jogos-do-Capricornio,http://www.isfdb.org/cgi-bin/pl.cgi?373696,http://www.isfdb.org/cgi-bin/title.cgi?1592,"/index.php/O_Labirinto_M%C3%A1gico_(LdB,_1981,_3%C2%BA_volume)"
292,Os Jogos do Capricórnio,Robert Silverberg,,1981,Capricorn Games,Eurico da Fonseca,,1976,Robert-Silverberg,,Eurico-da-Fonseca,,292-Os-Jogos-do-Capricornio,António Pedro,178,Antonio-Pedro,,291-O-Labirinto-Magico-3-volume,293-O-Outro-Lado-do-Mundo,http://www.isfdb.org/cgi-bin/pl.cgi?373697,http://www.isfdb.org/cgi-bin/title.cgi?37559,/index.php/Os_Jogos_do_Capric%C3%B3rnio_(colect%C3%A2nea)
293,O Outro Lado do Mundo,Ursula K LeGuin,,1981,The Farthest Shore,Eurico da Fonseca,,1972,Ursula-K-LeGuin,,Eurico-da-Fonseca,,293-O-Outro-Lado-do-Mundo,António Pedro,179,Antonio-Pedro,Earthsea Cycle,292-Os-Jogos-do-Capricornio,294-O-Numero-do-Monstro-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373698,http://www.isfdb.org/cgi-bin/title.cgi?7655,/index.php/O_Outro_Lado_do_Mundo
294,O Número do Monstro 1º volume,Robert A Heinlein,,1981,The Number of the Beast,Eurico da Fonseca,,1979,Robert-A-Heinlein,,Eurico-da-Fonseca,,294-O-Numero-do-Monstro-1-volume,,179,,Future History,293-O-Outro-Lado-do-Mundo,295-O-Numero-do-Monstro-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373699,http://www.isfdb.org/cgi-bin/title.cgi?1451,"/index.php/O_N%C3%BAmero_do_Monstro_(LdB,_1981,_1%C2%BA_volume)"
295,O Número do Monstro 2º volume,Robert A Heinlein,,1981,The Number of the Beast,Eurico da Fonseca,,1979,Robert-A-Heinlein,,Eurico-da-Fonseca,,295-O-Numero-do-Monstro-2-volume,,190,,Future History,294-O-Numero-do-Monstro-1-volume,296-O-Numero-do-Monstro-3-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373700,http://www.isfdb.org/cgi-bin/title.cgi?1451,"/index.php/O_N%C3%BAmero_do_Monstro_(LdB,_1981,_2%C2%BA_volume)"
296,O Número do Monstro 3º volume,Robert A Heinlein,,1981,The Number of the Beast,Eurico da Fonseca,,1979,Robert-A-Heinlein,,Eurico-da-Fonseca,,296-O-Numero-do-Monstro-3-volume,,190,,Future History,295-O-Numero-do-Monstro-2-volume,297-O-Planeta-dos-Dragoes-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373701,http://www.isfdb.org/cgi-bin/title.cgi?1451,"/index.php/O_N%C3%BAmero_do_Monstro_(LdB,_1981,_3%C2%BA_volume)"
297,O Planeta dos Dragões 1º volume,Anne McCaffrey,,1982,Dragonflight,Eurico da Fonseca,,1982,Anne-McCaffrey,,Eurico-da-Fonseca,,297-O-Planeta-dos-Dragoes-1-volume,,206,,Dragonriders of Pern,296-O-Numero-do-Monstro-3-volume,298-O-Planeta-dos-Dragoes-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373468,http://www.isfdb.org/cgi-bin/title.cgi?5530,"/index.php/O_Planeta_dos_Drag%C3%B5es_(LdB,_1982,_1%C2%BA_volume)"
298,O Planeta dos Dragões 2º volume,Anne McCaffrey,,1982,Dragonquest,Eurico da Fonseca,,1982,Anne-McCaffrey,,Eurico-da-Fonseca,,298-O-Planeta-dos-Dragoes-2-volume,,231,,Dragonriders of Pern,297-O-Planeta-dos-Dragoes-1-volume,299-O-Planeta-dos-Dragoes-3-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373469,http://www.isfdb.org/cgi-bin/title.cgi?2064,"/index.php/O_Planeta_dos_Drag%C3%B5es_(LdB,_1982,_2%C2%BA_volume)"
299,O Planeta dos Dragões 3º volume,Anne McCaffrey,,1982,The White Dragon,Eurico da Fonseca,,1982,Anne-McCaffrey,,Eurico-da-Fonseca,,299-O-Planeta-dos-Dragoes-3-volume,,237,,Dragonriders of Pern,298-O-Planeta-dos-Dragoes-2-volume,300-O-Misterio-de-Valis-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373470,http://www.isfdb.org/cgi-bin/title.cgi?861,"/index.php/O_Planeta_dos_Drag%C3%B5es_(LdB,_1982,_3%C2%BA_volume)"
300,O Mistério de Valis 1º volume,Philip K Dick,,1982,Valis,Eurico da Fonseca,,1981,Philip-K-Dick,,Eurico-da-Fonseca,,300-O-Misterio-de-Valis-1-volume,António Pedro,160,Antonio-Pedro,Valis,299-O-Planeta-dos-Dragoes-3-volume,301-O-Misterio-de-Valis-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373702,http://www.isfdb.org/cgi-bin/title.cgi?933,"/index.php/O_Mist%C3%A9rio_de_Valis_(LdB,_1982,_1%C2%BA_volume)"
301,O Mistério de Valis 2º volume,Philip K Dick,,1982,Valis,Eurico da Fonseca,,1981,Philip-K-Dick,,Eurico-da-Fonseca,,301-O-Misterio-de-Valis-2-volume,António Pedro,176,Antonio-Pedro,Valis,300-O-Misterio-de-Valis-1-volume,302-Os-Filhos-do-Cosmos,http://www.isfdb.org/cgi-bin/pl.cgi?373703,http://www.isfdb.org/cgi-bin/title.cgi?933,"/index.php/O_Mist%C3%A9rio_de_Valis_(LdB,_1982,_2%C2%BA_volume)"
302,Os Filhos do Cosmos,E E Doc Smith,,1982,Children of the Lens,Eurico da Fonseca,,1954,E-E-Doc-Smith,,Eurico-da-Fonseca,,302-Os-Filhos-do-Cosmos,António Pedro,213,Antonio-Pedro,,301-O-Misterio-de-Valis-2-volume,303-O-Mundo-do-Trono,http://www.isfdb.org/cgi-bin/pl.cgi?373704,http://www.isfdb.org/cgi-bin/title.cgi?1202,/index.php/Os_Filhos_do_Cosmos
303,O Mundo do Trono,Gordon R Dickson,,1982,Wolfling,Eurico da Fonseca,,1969,Gordon-R-Dickson,,Eurico-da-Fonseca,,303-O-Mundo-do-Trono,António Pedro,190,Antonio-Pedro,,302-Os-Filhos-do-Cosmos,304-Longe-da-Terra,http://www.isfdb.org/cgi-bin/pl.cgi?373705,http://www.isfdb.org/cgi-bin/title.cgi?3765,/index.php/O_Mundo_do_Trono
304,Longe da Terra,Marion Zimmer Bradley,,1982,Survey Ship,Eurico da Fonseca,,1980,Marion-Zimmer-Bradley,,Eurico-da-Fonseca,,304-Longe-da-Terra,António Pedro,168,Antonio-Pedro,,303-O-Mundo-do-Trono,305-O-Deus-da-Furia,http://www.isfdb.org/cgi-bin/pl.cgi?373706,http://www.isfdb.org/cgi-bin/title.cgi?1074,/index.php/Longe_da_Terra
305,O Deus da Fúria,Philip K Dick,Roger Zelazny,1982,Deus Irae,Eurico da Fonseca,,1976,Philip-K-Dick,Roger-Zelazny,Eurico-da-Fonseca,,305-O-Deus-da-Furia,António Pedro,182,Antonio-Pedro,,304-Longe-da-Terra,306-A-Solucao-de-Ceres,http://www.isfdb.org/cgi-bin/pl.cgi?373707,http://www.isfdb.org/cgi-bin/title.cgi?9147,/index.php/O_Deus_da_F%C3%BAria
306,A Solução de Ceres,Bob Shaw,,1983,The Ceres Solution,Eurico da Fonseca,,1981,Bob-Shaw,,Eurico-da-Fonseca,,306-A-Solucao-de-Ceres,António Pedro,187,Antonio-Pedro,,305-O-Deus-da-Furia,307-Prisioneiros-do-Poder-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373708,http://www.isfdb.org/cgi-bin/title.cgi?5145,/index.php/A_Solu%C3%A7%C3%A3o_de_Ceres
307,Prisioneiros do Poder 1º volume,Arkadi Strugatski,Boris Strugatski,1983,Обитаемый остров,Eurico da Fonseca,,1971,Arkadi-Strugatski,Boris-Strugatski,Eurico-da-Fonseca,,307-Prisioneiros-do-Poder-1-volume,António Pedro,205,Antonio-Pedro,,306-A-Solucao-de-Ceres,308-Prisioneiros-do-Poder-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373709,http://www.isfdb.org/cgi-bin/title.cgi?21979,"/index.php/Prisioneiros_do_Poder_(LdB,_1983,_1%C2%BA_volume)"
308,Prisioneiros do Poder 2º volume,Arkadi Strugatski,Boris Strugatski,1983,Обитаемый остров,Eurico da Fonseca,,1971,Arkadi-Strugatski,Boris-Strugatski,Eurico-da-Fonseca,,308-Prisioneiros-do-Poder-2-volume,António Pedro,177,Antonio-Pedro,,307-Prisioneiros-do-Poder-1-volume,309-Depois-da-Bomba,http://www.isfdb.org/cgi-bin/pl.cgi?373710,http://www.isfdb.org/cgi-bin/title.cgi?21979,"/index.php/Prisioneiros_do_Poder_(LdB,_1983,_2%C2%BA_volume)"
309,Depois da Bomba,Philip K Dick,,1983,Dr Bloodmoney or How we Got Along After the Bomb,Eurico da Fonseca,,1965,Philip-K-Dick,,Eurico-da-Fonseca,,309-Depois-da-Bomba,António Pedro,248,Antonio-Pedro,,308-Prisioneiros-do-Poder-2-volume,310-O-Homem-sem-Rosto,http://www.isfdb.org/cgi-bin/pl.cgi?373711,http://www.isfdb.org/cgi-bin/title.cgi?2075,/index.php/Depois_da_Bomba
310,O Homem sem Rosto,Jack Vance,,1983,The Anome,Eurico da Fonseca,,1971,Jack-Vance,,Eurico-da-Fonseca,,310-O-Homem-sem-Rosto,António Pedro,195,Antonio-Pedro,,309-Depois-da-Bomba,311-Projecto-Papa-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373712,http://www.isfdb.org/cgi-bin/title.cgi?1230,/index.php/O_Homem_sem_Rosto
311,Projecto Papa 1º volume,Clifford D Simak,,1983,Project Pope,Eurico da Fonseca,,1981,Clifford-D-Simak,,Eurico-da-Fonseca,,311-Projecto-Papa-1-volume,António Pedro,181,Antonio-Pedro,,310-O-Homem-sem-Rosto,312-Projecto-Papa-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373713,http://www.isfdb.org/cgi-bin/title.cgi?1362,"/index.php/Projecto_Papa_(LdB,_1983,_1%C2%BA_volume)"
312,Projecto Papa 2º volume,Clifford D Simak,,1983,Project Pope,Eurico da Fonseca,,1981,Clifford-D-Simak,,Eurico-da-Fonseca,,312-Projecto-Papa-2-volume,,179,,,311-Projecto-Papa-1-volume,313-Os-Senhores-do-Vortice,http://www.isfdb.org/cgi-bin/pl.cgi?373714,http://www.isfdb.org/cgi-bin/title.cgi?1362,"/index.php/Projecto_Papa_(LdB,_1983,_2%C2%BA_volume)"
313,Os Senhores do Vórtice,E E Doc Smith,,1983,The Vortex Blaster,Eurico da Fonseca,,1960,E-E-Doc-Smith,,Eurico-da-Fonseca,,313-Os-Senhores-do-Vortice,António Pedro,188,Antonio-Pedro,,312-Projecto-Papa-2-volume,314-O-Dragao-Branco-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373733,http://www.isfdb.org/cgi-bin/title.cgi?1203,/index.php/Os_Senhores_do_V%C3%B3rtice
314,O Dragão Branco 1º volume,Anne McCaffrey,,1983,The White Dragon,Eurico da Fonseca,,1978,Anne-McCaffrey,,Eurico-da-Fonseca,,314-O-Dragao-Branco-1-volume,,,,Dragonriders of Pern,313-Os-Senhores-do-Vortice,315-O-Dragao-Branco-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373732,http://www.isfdb.org/cgi-bin/title.cgi?861,"/index.php/O_Drag%C3%A3o_Branco_(LdB,_1983,_1%C2%BA_volume)"
315,O Dragão Branco 2º volume,Anne McCaffrey,,1983,The White Dragon,Eurico da Fonseca,,1978,Anne-McCaffrey,,Eurico-da-Fonseca,,315-O-Dragao-Branco-2-volume,,,,Dragonriders of Pern,314-O-Dragao-Branco-1-volume,316-O-Homem-Duplo,http://www.isfdb.org/cgi-bin/pl.cgi?373731,http://www.isfdb.org/cgi-bin/title.cgi?861,"/index.php/O_Drag%C3%A3o_Branco_(LdB,_1983,_2%C2%BA_volume)"
316,O Homem Duplo,Philip K Dick,,1983,A Scanner Darkly,Eurico da Fonseca,,1977,Philip-K-Dick,,Eurico-da-Fonseca,,316-O-Homem-Duplo,,,,,315-O-Dragao-Branco-2-volume,317-Rendez-vous-com-Rama,http://www.isfdb.org/cgi-bin/pl.cgi?373730,http://www.isfdb.org/cgi-bin/title.cgi?1262,/index.php/O_Homem_Duplo
317,Rendez-vous com Rama,Arthur C Clarke,,1983,Rendez-vous With Rama,Eurico da Fonseca,,1972,Arthur-C-Clarke,,Eurico-da-Fonseca,,317-Rendez-vous-com-Rama,António Pedro,202,Antonio-Pedro,,316-O-Homem-Duplo,318-Amor-no-Cosmos,http://www.isfdb.org/cgi-bin/pl.cgi?373729,http://www.isfdb.org/cgi-bin/title.cgi?1319,/index.php/Rendez-vous_com_Rama
318,Amor no Cosmos,Philip José Farmer,,1984,The Lovers,Eurico da Fonseca,,1961,Philip-Jose-Farmer,,Eurico-da-Fonseca,,318-Amor-no-Cosmos,António Pedro,205,Antonio-Pedro,,317-Rendez-vous-com-Rama,319-Expulsos-da-Terra,http://www.isfdb.org/cgi-bin/pl.cgi?373728,http://www.isfdb.org/cgi-bin/title.cgi?11928,/index.php/Amor_no_Cosmos
319,Expulsos da Terra,Ursula K LeGuin,,1984,The Eye of the Heron,Eurico da Fonseca,,1978,Ursula-K-LeGuin,,Eurico-da-Fonseca,,319-Expulsos-da-Terra,António Pedro,,Antonio-Pedro,,318-Amor-no-Cosmos,320-Mensagens-do-Futuro,http://www.isfdb.org/cgi-bin/pl.cgi?373727,http://www.isfdb.org/cgi-bin/title.cgi?7660,/index.php/Expulsos_da_Terra
320,Mensagens do Futuro,Vários,Isaac Asimov (ed.),1984,The Future in Question,Eurico da Fonseca,,1980,Isaac-Asimov,,Eurico-da-Fonseca,,320-Mensagens-do-Futuro,,,,,319-Expulsos-da-Terra,321-A-Conquista-de-Marte-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373726,http://www.isfdb.org/cgi-bin/title.cgi?853034,/index.php/Mensagens_do_Futuro
321,A Conquista de Marte 1º volume,William Rollo,,1984,The Olympus Gambit,Eurico da Fonseca,,1983,William-Rollo,,Eurico-da-Fonseca,,321-A-Conquista-de-Marte-1-volume,,,,,320-Mensagens-do-Futuro,322-A-Conquista-de-Marte-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373725,http://www.isfdb.org/cgi-bin/title.cgi?1378067,"/index.php/A_Conquista_de_Marte_(LdB,_1984,_1%C2%BA_volume)"
322,A Conquista de Marte 2º volume,William Rollo,,1984,The Olympus Gambit,Eurico da Fonseca,,1983,William-Rollo,,Eurico-da-Fonseca,,322-A-Conquista-de-Marte-2-volume,,,,,321-A-Conquista-de-Marte-1-volume,323-O-Mundo-do-Caos,http://www.isfdb.org/cgi-bin/pl.cgi?373724,http://www.isfdb.org/cgi-bin/title.cgi?1378067,"/index.php/A_Conquista_de_Marte_(LdB,_1984,_2%C2%BA_volume)"
323,O Mundo do Caos,Clifford D Simak,,1984,Special Deliverance,Eurico da Fonseca,,1982,Clifford-D-Simak,,Eurico-da-Fonseca,,323-O-Mundo-do-Caos,António Pedro,238,Antonio-Pedro,,322-A-Conquista-de-Marte-2-volume,324-Espiao-Interestelar,http://www.isfdb.org/cgi-bin/pl.cgi?373723,http://www.isfdb.org/cgi-bin/title.cgi?11952,/index.php/O_Mundo_do_Caos
324,Espião Interestelar,Poul Anderson,,1984,Ensign Flandry,Eurico da Fonseca,,1966,Poul-Anderson,,Eurico-da-Fonseca,,324-Espiao-Interestelar,,258,,,323-O-Mundo-do-Caos,325-A-Conquista-das-Estrelas-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373722,http://www.isfdb.org/cgi-bin/title.cgi?5268,/index.php/Espi%C3%A3o_Interestelar
325,A Conquista das Estrelas 1º volume,James P Hogan,,1984,Voyage From Yesteryear,Eurico da Fonseca,,1982,James-P-Hogan,,Eurico-da-Fonseca,,325-A-Conquista-das-Estrelas-1-volume,António Pedro,214,Antonio-Pedro,,324-Espiao-Interestelar,326-A-Conquista-das-Estrelas-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373721,http://www.isfdb.org/cgi-bin/title.cgi?4115,"/index.php/A_Conquista_das_Estrelas_(LdB,_1984,_1%C2%BA_volume)"
326,A Conquista das Estrelas 2º volume,James P Hogan,,1984,Voyage From Yesteryear,Eurico da Fonseca,,1982,James-P-Hogan,,Eurico-da-Fonseca,,326-A-Conquista-das-Estrelas-2-volume,António Pedro,214,Antonio-Pedro,,325-A-Conquista-das-Estrelas-1-volume,327-O-Que-Sera-o-Futuro,http://www.isfdb.org/cgi-bin/pl.cgi?373720,http://www.isfdb.org/cgi-bin/title.cgi?4115,"/index.php/A_Conquista_das_Estrelas_(LdB,_1984,_2%C2%BA_volume)"
327,O Que Será o Futuro,Vários,Isaac Asimov (ed.),1984,The Future in Question,Eurico da Fonseca,,1980,Isaac-Asimov,,Eurico-da-Fonseca,,327-O-Que-Sera-o-Futuro,,,,,326-A-Conquista-das-Estrelas-2-volume,328-A-Invasao-Divina,http://www.isfdb.org/cgi-bin/pl.cgi?373719,http://www.isfdb.org/cgi-bin/title.cgi?853034,/index.php/O_Que_Ser%C3%A1_o_Futuro
328,A Invasão Divina,Philip K Dick,,1984,The Divine Invasion,Eurico da Fonseca,,1981,Philip-K-Dick,,Eurico-da-Fonseca,,328-A-Invasao-Divina,,,,Valis,327-O-Que-Sera-o-Futuro,329-Detective-Galactico,http://www.isfdb.org/cgi-bin/pl.cgi?373718,http://www.isfdb.org/cgi-bin/title.cgi?2104,/index.php/A_Invas%C3%A3o_Divina
329,Detective Galáctico,Jack Vance,,1984,Galactic Effectuator,Eurico da Fonseca,,1980,Jack-Vance,,Eurico-da-Fonseca,,329-Detective-Galactico,António Pedro,178,Antonio-Pedro,,328-A-Invasao-Divina,330-Pesadelo-Cosmico,http://www.isfdb.org/cgi-bin/pl.cgi?373717,http://www.isfdb.org/cgi-bin/title.cgi?37502,/index.php/Detective_Gal%C3%A1ctico
330,Pesadelo Cósmico,Bob Shaw,,1984,Dagger of the Mind,Eurico da Fonseca,,1979,Bob-Shaw,,Eurico-da-Fonseca,,330-Pesadelo-Cosmico,,,,,329-Detective-Galactico,331-Muito-Depois-da-Meia-Noite-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373716,http://www.isfdb.org/cgi-bin/title.cgi?5144,/index.php/Pesadelo_C%C3%B3smico
331,Muito Depois da Meia-Noite 1º volume,Ray Bradbury,,1985,Long After Midnight,Eurico da Fonseca,,1976,Ray-Bradbury,,Eurico-da-Fonseca,,331-Muito-Depois-da-Meia-Noite-1-volume,António Pedro,166,Antonio-Pedro,,330-Pesadelo-Cosmico,332-Muito-Depois-da-Meia-Noite-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373245,http://www.isfdb.org/cgi-bin/title.cgi?38257,"/index.php/Muito_Depois_da_Meia-Noite_(LdB,_1985,_1%C2%BA_volume)"
332,Muito Depois da Meia-Noite 2º volume,Ray Bradbury,,1985,Long After Midnight,Eurico da Fonseca,,1976,Ray-Bradbury,,Eurico-da-Fonseca,,332-Muito-Depois-da-Meia-Noite-2-volume,António Pedro,181,Antonio-Pedro,,331-Muito-Depois-da-Meia-Noite-1-volume,333-Nave-Mundo,http://www.isfdb.org/cgi-bin/pl.cgi?373246,http://www.isfdb.org/cgi-bin/title.cgi?38257,"/index.php/Muito_Depois_da_Meia-Noite_(LdB,_1985,_2%C2%BA_volume)"
333,Nave-Mundo,Brian Aldiss,,1985,Non-Stop,Eurico da Fonseca,,1958,Brian-Aldiss,,Eurico-da-Fonseca,,333-Nave-Mundo,António Pedro,248,Antonio-Pedro,,332-Muito-Depois-da-Meia-Noite-2-volume,334-Os-Dias-Futuros,http://www.isfdb.org/cgi-bin/pl.cgi?373243,http://www.isfdb.org/cgi-bin/title.cgi?123,/index.php/Nave-Mundo
334,Os Dias Futuros,Arthur C Clarke,,1985,The Best of Arthur C Clarke 1937-1955,Eurico da Fonseca,,1973,Arthur-C-Clarke,,Eurico-da-Fonseca,,334-Os-Dias-Futuros,António Pedro,182,Antonio-Pedro,,333-Nave-Mundo,335-O-Senhor-das-Estrelas,http://www.isfdb.org/cgi-bin/pl.cgi?373247,http://www.isfdb.org/cgi-bin/title.cgi?842682,/index.php/Os_Dias_Futuros
335,O Senhor das Estrelas,Robert Sheckley,,1985,Dramocles,Eurico da Fonseca,,1983,Robert-Sheckley,,Eurico-da-Fonseca,,335-O-Senhor-das-Estrelas,,,,,334-Os-Dias-Futuros,336-O-Homem-Mais-Importante-do-Mundo,http://www.isfdb.org/cgi-bin/pl.cgi?373715,http://www.isfdb.org/cgi-bin/title.cgi?28275,/index.php/O_Senhor_das_Estrelas
336,O Homem Mais Importante do Mundo,Philip K Dick,,1985,Time Out of Joint,Eurico da Fonseca,,1959,Philip-K-Dick,,Eurico-da-Fonseca,,336-O-Homem-Mais-Importante-do-Mundo,,,,,335-O-Senhor-das-Estrelas,337-Os-Cacadores-do-Espaco,http://www.isfdb.org/cgi-bin/pl.cgi?373784,http://www.isfdb.org/cgi-bin/title.cgi?9502,/index.php/O_Homem_Mais_Importante_do_Mundo
337,Os Caçadores do Espaço,E E Doc Smith,,1985,Spacehounds of IPC,Eurico da Fonseca,,1947,E-E-Doc-Smith,,Eurico-da-Fonseca,,337-Os-Cacadores-do-Espaco,António Pedro,229,Antonio-Pedro,,336-O-Homem-Mais-Importante-do-Mundo,338-Onde-Mora-o-Mal,http://www.isfdb.org/cgi-bin/pl.cgi?373785,http://www.isfdb.org/cgi-bin/title.cgi?11454,/index.php/Os_Ca%C3%A7adores_do_Espa%C3%A7o
338,Onde Mora o Mal,Clifford D Simak,,1985,Where the Devil Dwells,Eurico da Fonseca,,1982,Clifford-D-Simak,,Eurico-da-Fonseca,,338-Onde-Mora-o-Mal,,,,,337-Os-Cacadores-do-Espaco,339-Tempo-de-Mudanca,http://www.isfdb.org/cgi-bin/pl.cgi?373786,http://www.isfdb.org/cgi-bin/title.cgi?11951,/index.php/Onde_Mora_o_Mal
339,Tempo de Mudança,Robert Silverberg,,1985,A Time of Changes,Eurico da Fonseca,,1971,Robert-Silverberg,,Eurico-da-Fonseca,,339-Tempo-de-Mudanca,,,,,338-Onde-Mora-o-Mal,340-Regresso-ao-Mundo-do-Rio-1-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373852,http://www.isfdb.org/cgi-bin/title.cgi?1004,/index.php/Tempo_de_Mudan%C3%A7a
340,Regresso ao Mundo do Rio 1º volume,Philip José Farmer,,1985,The Gods of Riverworld,Eurico da Fonseca,,1983,Philip-Jose-Farmer,,Eurico-da-Fonseca,,340-Regresso-ao-Mundo-do-Rio-1-volume,António Pedro,199,Antonio-Pedro,Riverworld,339-Tempo-de-Mudanca,341-Regresso-ao-Mundo-do-Rio-2-volume,http://www.isfdb.org/cgi-bin/pl.cgi?373853,http://www.isfdb.org/cgi-bin/title.cgi?464091,"/index.php/Regresso_ao_Mundo_do_Rio_(LdB,_1985,_1%C2%BA_volume)"
341,Regresso ao Mundo do Rio 2º volume,Philip José Farmer,,1985,The Gods of Riverworld,Eurico da Fonseca,,1983,Philip-Jose-Farmer,,Eurico-da-Fonseca,,341-Regresso-ao-Mundo-do-Rio-2-volume,António Pedro,199,Antonio-Pedro,Riverworld,340-Regresso-ao-Mundo-do-Rio-1-volume,342-A-Arma-Impossivel,http://www.isfdb.org/cgi-bin/pl.cgi?373854,http://www.isfdb.org/cgi-bin/title.cgi?1859,"/index.php/Regresso_ao_Mundo_do_Rio_(LdB,_1985,_2%C2%BA_volume)"
342,A Arma Impossível,Philip K Dick,,1985,The Zap Gun,Eurico da Fonseca,,1967,Philip-K-Dick,,Eurico-da-Fonseca,,342-A-Arma-Impossivel,,,,,341-Regresso-ao-Mundo-do-Rio-2-volume,343-Universos-Paralelos,http://www.isfdb.org/cgi-bin/pl.cgi?373855,http://www.isfdb.org/cgi-bin/title.cgi?9600,/index.php/A_Arma_Imposs%C3%ADvel
343,Universos Paralelos,Philip José Farmer,,1986,The Gate of Time,Eurico da Fonseca,,1966,Philip-Jose-Farmer,,Eurico-da-Fonseca,,343-Universos-Paralelos,António Pedro,216,Antonio-Pedro,,342-A-Arma-Impossivel,344-A-Maquina-da-Paz,http://www.isfdb.org/cgi-bin/pl.cgi?373783,http://www.isfdb.org/cgi-bin/title.cgi?11940,/index.php/Universos_Paralelos_(Farmer)
344,A Máquina da Paz,Bob Shaw,,1986,Ground Zero Man,Eurico da Fonseca,,1971,Bob-Shaw,,Eurico-da-Fonseca,,344-A-Maquina-da-Paz,António Pedro,190,Antonio-Pedro,,343-Universos-Paralelos,345-A-Mais-Bela-da-Lua,http://www.isfdb.org/cgi-bin/pl.cgi?373782,http://www.isfdb.org/cgi-bin/title.cgi?5136,/index.php/A_M%C3%A1quina_da_Paz
345,A Mais Bela da Lua,Larry Niven,,1986,The Patchwork Girl,Fernando Brites da Fonseca,,1980,Larry-Niven,,Fernando-Brites-da-Fonseca,,345-A-Mais-Bela-da-Lua,,,,,344-A-Maquina-da-Paz,346-O-Beco-dos-Malditos,http://www.isfdb.org/cgi-bin/pl.cgi?373781,http://www.isfdb.org/cgi-bin/title.cgi?6008,/index.php/A_Mais_Bela_da_Lua
