Numero,Titulo,Autor,Co-autor,Ano-de-Publicacao,Titulo-original,Tradutor,Co-tradutor,Ano-de-edicao,alias,Autor2-alias,Tradutor1-alias,Tradutor2-alias,Titulo-link,Capa,pags,Capa-link,Serie,anterior,seguinte,Livro-isfdb,Livro-isfdb-original,Livro-bibliowiki
24,A Tentação Cósmica,Roger Sorez,,1955,La Tentacion Cosmique,A Maldonado Domingues,,1954,Roger-Sorez,,A-Maldonado-Domingues,,24-A-Tentacao-Cosmica,Cândido Costa Pinto,249,Candido-Costa-Pinto,,23-Slan,25-O-Reino-das-Mulheres,http://www.isfdb.org/cgi-bin/pl.cgi?373275,http://www.isfdb.org/cgi-bin/title.cgi?1037063,/index.php/A_Tenta%C3%A7%C3%A3o_C%C3%B3smica
25,O Reino das Mulheres,Jerry Sohl,,1955,The Haploids,Mário-Henrique Leiria,,1953,Jerry-Sohl,,Mario-Henrique-Leiria,,25-O-Reino-das-Mulheres,Cândido Costa Pinto,173,Candido-Costa-Pinto,,24-A-Tentacao-Cosmica,26-A-Idade-do-Ouro,http://www.isfdb.org/cgi-bin/pl.cgi?373289,http://www.isfdb.org/cgi-bin/title.cgi?5243,/index.php/O_Reino_das_Mulheres
26,A Idade do Ouro,Arthur C Clarke,,1955,Childhood's End,Carlos Vieira,,1953,Arthur-C-Clarke,,Carlos-Vieira,,26-A-Idade-do-Ouro,Cândido Costa Pinto,236,Candido-Costa-Pinto,,25-O-Reino-das-Mulheres,27-O-Planeta-54,http://www.isfdb.org/cgi-bin/pl.cgi?373290,http://www.isfdb.org/cgi-bin/title.cgi?2248,/index.php/A_Idade_do_Ouro
27,O Planeta 54,Albert Crémieux,Jean Crémieux,1956,Chute Libre,Mário-Henrique Leiria,,1954,Albert-Cremieux,Jean-Cremieux,Mario-Henrique-Leiria,,27-O-Planeta-54,Cândido Costa Pinto,183,Candido-Costa-Pinto,,26-A-Idade-do-Ouro,28-Futuro-do-Mundo,http://www.isfdb.org/cgi-bin/pl.cgi?373292,http://www.isfdb.org/cgi-bin/title.cgi?1037078,/index.php/O_Planeta_54
28,Futuro do Mundo,Isaac Asimov,,1956,Pebble in the Sky,A Maldonado Domingues,,1950,Isaac-Asimov,,A-Maldonado-Domingues,,28-Futuro-do-Mundo,Cândido Costa Pinto,265,Candido-Costa-Pinto,Trantorian Empire,27-O-Planeta-54,29-Loucura-no-Universo,http://www.isfdb.org/cgi-bin/pl.cgi?373196,http://www.isfdb.org/cgi-bin/title.cgi?1406,/index.php/Futuro_do_Mundo
29,Loucura no Universo,Fredric Brown,,1956,What Mad Universe,Mário-Henrique Leiria,,1951,Fredric-Brown,,Mario-Henrique-Leiria,,29-Loucura-no-Universo,Cândido Costa Pinto,184,Candido-Costa-Pinto,,28-Futuro-do-Mundo,30-Geracoes-do-Amanha,http://www.isfdb.org/cgi-bin/pl.cgi?373293,http://www.isfdb.org/cgi-bin/title.cgi?866,/index.php/Loucura_no_Universo
30,Gerações do Amanhã,Robert A Heinlein,,1956,Beyond This Horizon,Luís de Almeida Campos,,1942,Robert-A-Heinlein,,Luis-de-Almeida-Campos,,30-Geracoes-do-Amanha,Cândido Costa Pinto,262,Candido-Costa-Pinto,,29-Loucura-no-Universo,31-Xadrez-Cosmico,http://www.isfdb.org/cgi-bin/pl.cgi?373294,http://www.isfdb.org/cgi-bin/title.cgi?2373,/index.php/Gera%C3%A7%C3%B5es_do_Amanh%C3%A3
31,Xadrez Cósmico,A E Van Vogt,,1956,The World of Null-A,T Araújo,,1948,A-E-Van-Vogt,,T-Araujo,,31-Xadrez-Cosmico,Cândido Costa Pinto,240,Candido-Costa-Pinto,Null-A,30-Geracoes-do-Amanha,32-Robinsons-do-Cosmos,http://www.isfdb.org/cgi-bin/pl.cgi?373295,http://www.isfdb.org/cgi-bin/title.cgi?795,/index.php/Xadrez_C%C3%B3smico
32,Robinsons do Cosmos,Francis Carsac,,1956,Les Robinsons du Cosmos,Mário-Henrique Leiria,,1955,Francis-Carsac,,Mario-Henrique-Leiria,,32-Robinsons-do-Cosmos,Cândido Costa Pinto,195,Candido-Costa-Pinto,,31-Xadrez-Cosmico,33-Fahrenheit-451,http://www.isfdb.org/cgi-bin/pl.cgi?373296,http://www.isfdb.org/cgi-bin/title.cgi?1038149,/index.php/Robinsons_do_Cosmos
33,Fahrenheit 451,Ray Bradbury,,1956,Fahrenheit 451,Mário-Henrique Leiria,,1953,Ray-Bradbury,,Mario-Henrique-Leiria,,33-Fahrenheit-451,Lima de Freitas,182,Lima-de-Freitas,Fahrenheit 451,32-Robinsons-do-Cosmos,34-Guerra-no-Tempo,http://www.isfdb.org/cgi-bin/pl.cgi?373297,http://www.isfdb.org/cgi-bin/title.cgi?1972,/index.php/Fahrenheit_451
