Autor,alias
Frederik Pohl,Frederik-Pohl
Frederik Pohl,Frederik-Pohl
Arthur Conan Doyle,Arthur-Conan-Doyle
A E Van Vogt,A-E-Van-Vogt
Clifford D Simak,Clifford-D-Simak
Clifford D Simak,Clifford-D-Simak
Paul French,Paul-French
Harry Harrison,Harry-Harrison
L Sprague de Camp,L-Sprague-de-Camp
Bob Shaw,Bob-Shaw
Jack Vance,Jack-Vance
Poul Anderson,Poul-Anderson
Frederik Pohl,Frederik-Pohl
Frederik Pohl,Frederik-Pohl
A E Van Vogt,A-E-Van-Vogt
Clifford D Simak,Clifford-D-Simak
Brian Aldiss,Brian-Aldiss
Isaac Asimov,Isaac-Asimov
Ursula K LeGuin,Ursula-K-LeGuin
Paul Cook,Paul-Cook
Harry Harrison,Harry-Harrison
Bob Shaw,Bob-Shaw
Harry Turtledove,Harry-Turtledove
Harry Turtledove,Harry-Turtledove
vários,varios
James P Hogan,James-P-Hogan
Frederik Pohl,Frederik-Pohl
Robert A Heinlein,Robert-A-Heinlein
Pierre Versins,Pierre-Versins
Robert A Heinlein,Robert-A-Heinlein
David J Skal,David-J-Skal
John Barnes,John-Barnes
Ursula K LeGuin,Ursula-K-LeGuin
Gordon R Dickson,Gordon-R-Dickson
Frederik Pohl,Frederik-Pohl
John Sladek,John-Sladek
Philip K Dick,Philip-K-Dick
Frank Herbert,Frank-Herbert
Gordon R Dickson,Gordon-R-Dickson
Robert A Heinlein,Robert-A-Heinlein
Philip K Dick,Philip-K-Dick
Ursula K LeGuin,Ursula-K-LeGuin
Richard Kadrey,Richard-Kadrey
Richard Kadrey,Richard-Kadrey
A E Van Vogt,A-E-Van-Vogt
vários,varios
Chris Claremont,Chris-Claremont
Robert Silverberg,Robert-Silverberg
John E Stith,John-E-Stith
Arthur Conan Doyle,Arthur-Conan-Doyle
Murray Leinster,Murray-Leinster
C M Kornbluth,C-M-Kornbluth
Gordon R Dickson,Gordon-R-Dickson
Gordon R Dickson,Gordon-R-Dickson
James Blish,James-Blish
Isaac Asimov,Isaac-Asimov
Frederik Pohl,Frederik-Pohl
Frederik Pohl,Frederik-Pohl
Gordon R Dickson,Gordon-R-Dickson
A Bertram Chandler,A-Bertram-Chandler
Bob Shaw,Bob-Shaw
Bob Shaw,Bob-Shaw
Christian Russel,Christian-Russel
Poul Anderson,Poul-Anderson
John Sladek,John-Sladek
Harry Harrison,Harry-Harrison
Gordon R Dickson,Gordon-R-Dickson
Gordon R Dickson,Gordon-R-Dickson
Fritz Leiber,Fritz-Leiber
Brian Aldiss,Brian-Aldiss
Ray Bradbury,Ray-Bradbury
Ray Bradbury,Ray-Bradbury
John Brunner,John-Brunner
Clifford D Simak,Clifford-D-Simak
John E Stith,John-E-Stith
John E Stith,John-E-Stith
Gordon R Dickson,Gordon-R-Dickson
James Blish,James-Blish
Robert Sheckley,Robert-Sheckley
Arthur Conan Doyle,Arthur-Conan-Doyle
James Blish,James-Blish
Philip K Dick,Philip-K-Dick
Philip K Dick,Philip-K-Dick
Leigh Brackett,Leigh-Brackett
Maurice Vernon,Maurice-Vernon
S N Lewitt,S-N-Lewitt
Roger Zelazny,Roger-Zelazny
Robert Silverberg,Robert-Silverberg
James Blish,James-Blish
Gordon R Dickson,Gordon-R-Dickson
Gordon R Dickson,Gordon-R-Dickson
Philip K Dick,Philip-K-Dick
Philip José Farmer,Philip-Jose-Farmer
James Blish,James-Blish
Bob Shaw,Bob-Shaw
John D MacDonald,John-D-MacDonald
Bob Shaw,Bob-Shaw
Philip K Dick,Philip-K-Dick
Gordon R Dickson,Gordon-R-Dickson
James Blish,James-Blish
James Blish,James-Blish
Frederik Pohl,Frederik-Pohl
A E Van Vogt,A-E-Van-Vogt
Bob Shaw,Bob-Shaw
Bob Shaw,Bob-Shaw
James Blish,James-Blish
C H Badet,C-H-Badet
Lester del Rey,Lester-del-Rey
John Sladek,John-Sladek
John Sladek,John-Sladek
Philip José Farmer,Philip-Jose-Farmer
James Blish,James-Blish
C J Cherryh,C-J-Cherryh
C J Cherryh,C-J-Cherryh
Bob Shaw,Bob-Shaw
Anne McCaffrey,Anne-McCaffrey
Frederik Pohl,Frederik-Pohl
Fredric Brown,Fredric-Brown
Frederik Pohl,Frederik-Pohl
Philip José Farmer,Philip-Jose-Farmer
James Blish,James-Blish
Brian Aldiss,Brian-Aldiss
Brian Aldiss,Brian-Aldiss
